organism	seedid	kingdom	phylum	mclass	order	family	genus	oxygenstat	metabolism	gram	mtype	genes	reactions	metabolites	draftcreator	draftcreated	phenotype	imgid	ncbiid	platform	kbaseid
Acinetobacter lwoffii WJ10621	Acinetobacter lwoffii WJ10621 (1046625.3)	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Aerobe	Respiratory	Negative		798	1354	1024	Laura Kutt	04/18/16		2547132098	1046625	ModelSEED	kb|g.23426
Atopobium minutum 10063974	Atopobium minutum 10063974 (997872.3)	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Atopobium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	469	992	807	chenry	04/15/16		2531839302	997872	Kbase	kb|g.32451
Alistipes finegoldii DSM 17242	Alistipes finegoldii DSM 17242 (679935.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Obligate anaerobe	Saccharolytic, fermentative	Negative		667	1128	875	Laura Kutt	04/17/16		2509601035	679935	Kbase	kb|g.27343
Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonas hydrophila subsp. hydrophila ATCC 7966 (380703.5)	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Facultative anaerobe	Saccharolytic, fermentative	Negative		1078	1560	1139	Laura Kutt	04/18/16		639633004	380703	Kbase	kb|g.26547
Enterococcus caccae ATCC BAA-1240	Enterococcus caccae ATCC BAA-1240 (1158612.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Facultative anaerobe	Saccharolytic, fermentative	Positive	Commensal	888	1350	998	Laura Kutt	04/18/16		2545824664	1158612	Kbase	kb|g.30368
Streptococcus gallolyticus subsp. gallolyticus ATCC 43143	Streptococcus gallolyticus subsp. gallolyticus ATCC 43143 (981539.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Pathogen	711	1202	945	Laura Kutt	04/18/16		651053072	981539	Kbase	kb|g.3836
Varibaculum cambriense DSM 15806		Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Varibaculum	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	538	1012	833	chenry	04/15/16		2524614732	1123488	ModelSEED	kb|g.207318
Leuconostoc argentinum KCTC 3773	Leuconostoc argentinum KCTC 3773 (886872.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Facultative anaerobe	Saccharolytic, fermentative, nonproteolytic	Positive		603	1124	869	Laura Kutt	04/18/16		651324066	886872	Kbase	kb|g.28083
Megamonas funiformis YIT 11815	Megamonas funiformis YIT 11815 (742816.3)	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	Obligate anaerobe	Saccharolytic, fermentative	Negative		812	1249	935	Laura Kutt	04/18/16		2513237399	742816	Kbase	kb|g.27486
Enterococcus gallinarum EG2	Enterococcus gallinarum EG2 (565653.4)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Facultative anaerobe	Saccharolytic, fermentative	Positive	Commensal	872	1314	977	Laura Kutt	05/29/16		647533156	565653	ModelSEED	kb|g.2381
Geobacillus vulcani PSS1		Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Aerobe	Saccharolytic, non-fermentative	Positive		976	1572	1133	Laura Kutt	04/17/16		2574179705	1382315	Kbase	kb|g.241237
Yersinia rohdei ATCC 43380	Yersinia rohdei ATCC 43380 (527004.3)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia	Obligate anaerobe	Saccharolytic, fermentative	Positive		1197	1689	1188	Laura Kutt	04/18/16		645058789	527004	Kbase	kb|g.2092
Streptococcus peroris ATCC 700780	Streptococcus peroris ATCC 700780 (888746.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Commensal	526	1081	835	Laura Kutt	04/18/16		NA	888746	ModelSEED	kb|g.3605
Lactobacillus curvatus CRL 705		Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, fermentative or respiratory	Positive		509	1057	843	Laura Kutt	04/18/16		NA	1074451	ModelSEED	kb|g.23895
Bacillus atrophaeus ATCC 49822-1	Bacillus atrophaeus ATCC 49822-1 (743710.3)	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Aerobe	Respiration or fermentation of carbohydrates and central metabolism intermediates	Positive		1143	1658	1177	Laura Kutt	04/17/16		2547132231	743710	Kbase	kb|g.3133
Cloacibacillus evryensis DSM 19522		Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Cloacibacillus	Obligate anaerobe	Asaccharolytic, fermentative	Negative		874	1216	995	Laura Kutt	04/19/16		NA	866499	ModelSEED	kb|g.216301
Prevotella shahii JCM 12083		Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	623	1021	868	chenry	04/15/16		NA	1122991	Kbase	kb|g.242275
Parabacteroides goldsteinii dnLKV18	Parabacteroides goldsteinii dnLKV18 (1235789.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Obligate anaerobe	Saccharolytic, fermentative	Negative	Commensal	944	1332	1050	chenry	04/15/16		2563367169	1235789	ModelSEED	kb|g.31352
Brevibacterium casei S18	Brevibacterium casei S18 (1229781.4)	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	Aerobe	Respiratory, non fermentative	Positive	Pathogen	919	1430	1093	chenry	04/15/16		NA	1229781	ModelSEED	kb|g.25726
Rothia aeria F0474	Rothia aeria F0474 (1125724.3)	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	Obligate aerobe	 Saccharolytic, respiratory	Positive	Opportunistic pathogen	575	1038	846	chenry	04/15/16		2513237283	1125724	Kbase	kb|g.24422
Enterococcus saccharolyticus DSM8903		Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Facultative anaerobe	Saccharolytic, fermentative	Positive	Commensal	575	1108	924	Laura Kutt	04/18/16		640427106	351627	ModelSEED	kb|g.1031
Leptotrichia buccalis C-1013-b	Leptotrichia buccalis C-1013-b (523794.5)	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Facultative anaerobe	Saccharolytic, fermentative	Negative		656	1230	958	Laura Kutt	04/18/16		644736384	523794	Kbase	kb|g.1972
Clostridium botulinum F str. 230613	Clostridium botulinum F str. 230613 (758678.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Anaerobe	Saccharolytic, fermentative	Positive		918	1369	1030	Laura Kutt	06/02/16		646862320	758678	ModelSEED	kb|g.3249
Kluyvera ascorbata  ATCC 33433		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Kluyvera	Facultative anaerobe	Fermentative, respiratory	Negative		1241	1762	1229	Laura Kutt	04/18/16		2588253795	1006000	Kbase	kb|g.241367
Eggerthia catenaformis OT 569 = DSM 20559	Eggerthia catenaformis OT 569 = DSM 20559 (999415.3)	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Eggerthia	Obligate anaerobe	Saccharolytic, fermentative	Positive		559	1149	891	Laura Kutt	04/18/16		2537561938	999415	ModelSEED	kb|g.32469
Bifidobacterium boum DSM 20432		Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Facultative anaerobe, air+CO2	Saccharolytic, fermentative	Positive	Probiotic	517	1135	899	chenry	04/15/16		NA	1410645	Kbase	kb|g.239935
Staphylococcus arlettae CVD059	Staphylococcus arlettae CVD059 (1212545.3)	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive		914	1449	1095	Laura Kutt	04/18/16		2519899588	1212545	ModelSEED	kb|g.25560
Mobiluncus curtisii ATCC 43063	Mobiluncus curtisii ATCC 43063 (548479.6)	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Mobiluncus	Obligate anaerobe	Saccharolytic, fermentative	Negative	Opportunistic pathogen	559	1082	862	chenry	04/15/16		648028043	548479	ModelSEED	kb|g.2215
Acinetobacter radioresistens NIPH 2130	Acinetobacter radioresistens NIPH 2130 (1217674.3)	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Aerobe	Asaccharolytic	Negative		856	1403	1073	Laura Kutt	04/18/16		2529293102	1217674	Kbase	kb|g.31202
Dietzia cinnamea P4		Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dietziaceae	Dietzia	Obligate aerobe	Saccharolytic	Positive		763	1286	1032	chenry	04/15/16		649989929	910954	ModelSEED	kb|g.28335
Prevotella melaninogenica ATCC 25845	Prevotella melaninogenica ATCC 25845 (553174.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	537	1016	834	Laura Kutt	04/17/16		648028051	553174	Kbase	kb|g.2241
Corynebacterium kroppenstedtii DSM 44385	Corynebacterium kroppenstedtii DSM 44385 (645127.4)	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	Facultative anaerobe	Saccharolytic	Positive	Pathogen	684	1274	1005	chenry	04/15/16		643692019	645127	ModelSEED	kb|g.2752
Raoultella planticola ATCC 33531		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Raoultella	Facultative anaerobe	Fermentative, respiratory	Negative		1483	1896	1281	Laura Kutt	04/18/16		2588253798	1005996	ModelSEED	kb|g.242501
Odoribacter laneus YIT 12061	Odoribacter laneus YIT 12061 (742817.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter	Obligate anaerobe	Asaccharolytic, Fermentative	Negative	Commensal	755	1140	950	chenry	04/15/16		2513237280	742817	ModelSEED	kb|g.27487
Oceanobacillus picturae strain S1		Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Aerobe	Respiratory, non fermentative	Positive		922	1443	1094	Laura Kutt	04/19/16		2617271105	333381	ModelSEED	kb|g.242144
Streptococcus vestibularis F0396	Streptococcus vestibularis F0396 (904306.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive		605	1144	874	Laura Kutt	04/18/16		649990017	904306	ModelSEED	kb|g.3655
Bifidobacterium ruminantium DSM 6489		Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Probiotic	527	1088	887	chenry	04/15/16		NA	1410647	Kbase	kb|g.239970
Prevotella brevis ATCC 19188		Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	613	1091	901	chenry	04/15/16		NA	1408472	Kbase	kb|g.242253
Clostridium clostridioforme CM201	Clostridium clostridioforme CM201 (999410.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Obligate anaerobe	Saccharolytic, fermentative	Negative	Opportunistic pathogen	1276	1341	984	Laura Kutt	04/18/16		2534682205	999410	ModelSEED	kb|g.32465
Bacillus endophyticus 2102	Bacillus endophyticus 2102 (1196029.3)	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Aerobe	Respiration or fermentation of carbohydrates and central metabolism intermediates	Positive		1440	1727	1226	Laura Kutt	04/17/16		2551306099	1196029	Kbase	kb|g.25385
Bacillus firmus DS1		Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Facultative anaerobe	Respiration or fermentation of carbohydrates and central metabolism intermediates	Positive		1107	1562	1142	Laura Kutt	04/17/16		2568526233	1307436	ModelSEED	kb|g.209412
Bacillus pseudofirmus  OF4	Bacillus pseudofirmus OF4 (398511.4)	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Aerobe	Respiration or fermentation of carbohydrates and central metabolism intermediates	Positive		1019	1486	1114	Laura Kutt	04/17/16		646311908	398511	Kbase	kb|g.1270
Enterococcus avium ATCC 14025	Enterococcus avium ATCC 14025 (1140002.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Facultative anaerobe	Saccharolytic, fermentative	Positive	Commensal	1273	1366	1027	Laura Kutt	04/18/16		2545824652	1140002	Kbase	kb|g.29873
Prevotella albensis DSM 11370 		Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	555	1059	893	chenry	04/15/16		NA	1122978	ModelSEED	kb|g.207235
Staphylococcus xylosus DMB3-Bh1		Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive		866	1448	1087	Laura Kutt	04/18/16		2588253750	1353979	ModelSEED	kb|g.245259
Ochrobactrum anthropi ATCC 49188	Ochrobactrum anthropi ATCC 49188 (439375.7)	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	Facultative anaerobe	Fermentative	Negative		1174	1549	1169	Laura Kutt	04/18/16		640753038	439375	ModelSEED	kb|g.1468
Neisseria macacae ATCC 33926		Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Facultative anaerobe	Saccharolytic, non-fermentative	Negative		634	1179	926	Laura Kutt	04/18/16		651324075	997348	Kbase	kb|g.28897
Gemella sanguinis ATCC700632		Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales Incertae Sedis XI	Gemella	Facultative anaerobe	Saccharolytic, fermentative	Positive		492	1024	793	Laura Kutt	04/17/16		NA	1408440	ModelSEED	kb|g.241224
Arcobacter butzleri RM4018	Arcobacter butzleri RM4018 (367737.4)	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	Microaerophile	Non-fermentative, asaccharolytic	Negative		622	1073	899	Laura Kutt	04/18/16		640753004	367737	Kbase	kb|g.1095
Prevotella denticola F0289	Prevotella denticola F0289 (767031.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	531	1049	859	Laura Kutt	05/29/16		650716073	767031	Kbase	kb|g.3366
Gemella haemolysans ATCC 10379	Gemella haemolysans ATCC 10379 (546270.5)	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales Incertae Sedis XI	Gemella	Facultative anaerobe	Saccharolytic, fermentative	Positive		515	988	787	Laura Kutt	04/17/16		645058834	546270	ModelSEED	kb|g.2189
Eikenella corrodens ATCC 23834	Eikenella corrodens ATCC 23834 (546274.4)	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	Facultative anaerobe	Non-fermentative	Negative		587	1058	894	Laura Kutt	04/18/16		NA	546274	ModelSEED	kb|g.2194
Propionibacterium granulosum DSM 20700 		Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Propionibacterium	Facultative anaerobe	Saccharolytic, fermentative	Positive		549	1168	948	chenry	04/15/16		2602041680	1160719	Kbase	kb|g.207782
Streptococcus constellatus subsp. constellatus SK53		Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Commensal	514	1053	835	Laura Kutt	04/18/16		2537561968	1095730	ModelSEED	kb|g.24158
Haemophilus parainfluenzae T3T1	Haemophilus parainfluenzae T3T1 (862965.3)	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Aerobe	Respiratory	Negative		658	1246	974	Laura Kutt	04/19/16		650377947	862965	ModelSEED	kb|g.3441
Scardovia inopinata F0304	Scardovia inopinata F0304 (641146.3)	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Scardovia	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	456	1035	847	chenry	04/15/16		647533207	641146	Kbase	kb|g.2728
Eubacterium brachy ATCC 33089		Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Incertae Sedis XIII	Eubacterium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	383	975	795	Laura Kutt	04/18/16		2558860285	1321814	Kbase	kb|g.209880
Slackia exigua ATCC 700122	Slackia exigua ATCC 700122 (649764.3)	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Slackia	Obligate anaerobe	Asaccharolytic, nonfermentative	Positive		542	1037	886	chenry	04/15/16		NA	649764	Kbase	kb|g.2778
Clostridium innocuum 2959	Clostridium innocuum 2959 (999413.4)	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	Obligate anaerobe	Saccharolytic, fermentative	Negative	Pathogen	1135	1267	967	Laura Kutt	04/18/16		2534682210	999413	Kbase	kb|g.32468
Streptococcus parauberis KCTC 11537	Streptococcus parauberis KCTC 11537 (936154.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive		664	1186	900	Laura Kutt	04/18/16		650716090	936154	ModelSEED	kb|g.3766
Flavonifractor plautii ATCC 29863		Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive		743	1208	976	Laura Kutt	04/18/16		2513237287	411475	Kbase	kb|g.26645
Staphylococcus pettenkoferi VCU012	Staphylococcus pettenkoferi VCU012 (904314.5)	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive		822	1344	1042	Laura Kutt	04/18/16		2529292787	904314	Kbase	kb|g.28242
Kurthia massiliensis  JC30		Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Kurthia	Aerobe	Saccharolytic, respiratory	Positive		789	1442	1092	Laura Kutt	04/18/16		2547132137	1033739	ModelSEED	kb|g.23348
Pseudomonas nitroreducens HBP1		Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Aerobe	Respiratory	Negative		1481	1623	1225	Laura Kutt	04/19/16		2579779010	1437882	Kbase	kb|g.214879
Clostridium hathewayi DSM 13479		Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Hungatella	Obligate anaerobe	Saccharolytic, fermentative	Negative		1079	1312	1000	Laura Kutt	04/18/16		NA	566550	Kbase	kb|g.26553
Brevibacillus brevis NBRC 100599	Brevibacillus brevis NBRC 100599 (358681.3)	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Aerobe	Saccharolytic	Variable		1211	1593	1163	Laura Kutt	04/18/16		643692011	358681	ModelSEED	kb|g.1051
Enterococcus casseliflavus ATCC 12755	Enterococcus casseliflavus ATCC 12755 (888066.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Facultative anaerobe	Saccharolytic, fermentative	Positive	Commensal	1003	1296	992	Laura Kutt	04/18/16		NA	888066	Kbase	kb|g.3600
Staphylococcus xylosus NJ	Staphylococcus xylosus NJ (1262650.3)	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive		977	1508	1114	Laura Kutt	05/29/16		2551306492	1262650	ModelSEED	kb|g.31520
Ruminococcus gauvreauii DSM 19829		Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus	Obligate anaerobe	Saccharolytic, fermentative	Positive		955	1276	1035	Laura Kutt	04/18/16		NA	1123075	Kbase	kb|g.207264
Paraprevotella clara YIT 11840	Paraprevotella clara YIT 11840 (762968.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	Obligate anaerobe	Saccharolytic, fermentative	Negative		703	1103	915	Laura Kutt	04/17/16		NA	762968	Kbase	kb|g.27713
Microbacterium gubbeenense  DSM 15944		Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	Facultative anaerobe	Saccharolytic	Positive		707	1275	1018	chenry	04/15/16		NA	1122237	ModelSEED	kb|g.207197
Prevotella bivia DSM 20514	Prevotella bivia DSM 20514 (868129.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	514	960	792	Laura Kutt	04/17/16		NA	868129	Kbase	kb|g.27853
Exiguobacterium aurantiacum DSM 6208		Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales Incertae Sedis XII	Exiguobacterium	Facultative anaerobe	Saccharolytic, non-fermentative	Positive		767	1352	1045	Laura Kutt	04/17/16		2562617001	1397694	Kbase	kb|g.241173
Rhodococcus rhodochrous ATCC 21198		Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Rhodococcus	Aerobe	Saccharolytic	Positive		1275	1546	1171	chenry	04/15/16		NA	1429046	Kbase	kb|g.214743
Alistipes onderdonkii DSM 19147	Alistipes onderdonkii DSM 19147 (1120974.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Obligate anaerobe	Saccharolytic, fermentative	Negative		662	1095	898	Laura Kutt	04/17/16		NA	1203611	ModelSEED	kb|g.29550
Trabulsiella guamensis ATCC 49490		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Trabulsiella	Facultative anaerobe	Fermentative, respiratory	Negative		1130	1709	1177	Laura Kutt	04/18/16		2588253800	1005994	ModelSEED	kb|g.244739
Kytococcus sedentarius DSM 20547	Kytococcus sedentarius DSM 20547 (478801.4)	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dermacoccaceae	Kytococcus	Obligate aerobe	Respiratory	Positive	Commensal	651	1198	945	chenry	04/15/16		644736380	478801	Kbase	kb|g.1725
Acinetobacter pittii ANC 4052	Acinetobacter pittii ANC 4052 (1217689.3)	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Aerobe	Asaccharolytic	Negative		1021	1563	1147	Laura Kutt	04/18/16		2531839647	1217689	Kbase	kb|g.31207
Clostridium botulinum A str. Hall	Clostridium botulinum A str. Hall (441771.4)	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Anaerobe	Proteolytic, fermentative	Positive		833	1378	1027	Laura Kutt	05/30/16		640753018	441771	ModelSEED	kb|g.1489
Delftia acidovorans SPH-1	Delftia acidovorans SPH-1 (398578.3)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	Facultative anaerobe	Fermentative	Negative		1314	1665	1213	Laura Kutt	04/18/16		641228489	398578	ModelSEED	kb|g.1274
Finegoldia magna ATCC 29328	Finegoldia magna ATCC 29328 (334413.6)	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Obligate anaerobe	Asaccharolytic, peptone and amino acid converted to acetate	Positive		453	891	727	Laura Kutt	04/18/16		641522627	334413	Kbase	kb|g.927
Yersinia bercovieri ATCC 43970	Yersinia bercovieri ATCC 43970 (349968.3)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia	Facultative anaerobe	Fermentative, respiratory	Negative		1121	1601	1162	Laura Kutt	04/18/16		638341238	349968	Kbase	kb|g.1013
Clostridium indolis DSM 755		Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Obligate anaerobe	Saccharolytic, fermentative	Positive		1476	1420	1090	Laura Kutt	04/18/16		2524614838	1304881	ModelSEED	kb|g.209340
Bacteroides faecis MAJ27	Bacteroides faecis MAJ27 (1077285.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Obligate anaerobe	Saccharolytic, fermentative	Negative	Commensal	936	1225	981	chenry	04/15/16		2548876788	1077285	Kbase	kb|g.23927
Prevotella bryantii  C21a 		Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	711	1098	895	Laura Kutt	05/30/16		648276714	752555	Kbase	kb|g.208709
Staphylococcus vitulinus F1028		Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive		831	1397	1071	Laura Kutt	04/18/16		2548876999	1167632	ModelSEED	kb|g.25042
Lactobacillus vaginalis ATCC 49540	Lactobacillus vaginalis ATCC 49540 (525366.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, fermentative or respiratory	Positive		543	1083	886	Laura Kutt	04/18/16		NA	1423814	Kbase	kb|g.2018
Atopobium rimae ATCC 49626	Atopobium rimae ATCC 49626 (553184.4)	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Atopobium	Obligate anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	479	1041	854	chenry	04/15/16		643886019	553184	Kbase	kb|g.2245
Actinobacillus pleuropneumoniae L20	Actinobacillus pleuropneumoniae L20 (416269.5)	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Facultative anaerobe	Saccharolytic, fermentative	Negative		754	1370	1023	Laura Kutt	06/02/16		640069302	416269	Kbase	kb|g.1403
Weissella confusa LBAE C39-2	Weissella confusa LBAE C39-2 (1127131.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Facultative anaerobe	Fermentative, respiratory	Negative		605	1069	847	Laura Kutt	04/18/16		2519103086	1127131	ModelSEED	kb|g.24438
Ureibacillus thermosphaericus str. Thermo-BF	Ureibacillus thermosphaericus str. Thermo-BF (1160707.3)	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Ureibacillus	Aerobe	Uses esculine, urea and malate as carbon source	Negative		865	1298	1037	Laura Kutt	04/18/16		2548876990	1160707	ModelSEED	kb|g.24961
Prevotella conceptionensis  9403948		Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	525	990	825	chenry	04/15/16		2551306135	1197728	Kbase	kb|g.25401
